Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
0  Survey Year & Location,Keep,Keep,ID,Survey ID,,,,Integer,1,,A unique ID number assigned to each survey respondant. The numbers range from 1 to 3116.,,377,877,1040,822
0  Survey Year & Location,Keep,Keep,hnssurvey,Survey Phase,,Survey Phase,,"Baseline 2016, Fall 2017-Spring 2018, Fall 2018-Spring 2019, Fall 2019-Spring 2020",1,"This variable provides the number of surveys completed during each phase of data collection. The data collection phases are: Baseline 2016, Fall 2017-Spring 2018, Fall 2018-Spring 2019, and Fall 2019-Spring 2020. This variable does not correspond to a question on the survey.","This variable provides information on the number of surveys completed in each phase of data collection. Possible responses are: Baseline 2016, Fall 2017-Spring 2018, Fall 2018-Spring 2019, and Fall 2019-Spring 2020. This variable does not reflect a question from the survey.",,377,877,1040,822
0  Survey Year & Location,Remove,Remove,record_seq,,,,,"Four figure number such as 4813, 2748, etc.",1,,,,377,877,1040,0
0  Survey Year & Location,Remove,Remove,record_id,,,,,"Four figure number such as 4813, 2748, etc.",1,,,,0,877,1040,822
0  Survey Year & Location,Remove,Remove,record_id_old,,,,,"Four figure number such as 4813, 2748, etc.",1,,,,0,804,1040,0
0  Survey Year & Location,Remove,Keep,incentive,,Survey #,,text,"X, XX, XXX, XXXX, CX, CXX, CXXX, TX, DX",0,,,(2017 onwards only),0,827,1010,773
0  Survey Year & Location,Keep,Keep,surveytype,Survey Language,,,,"English, Spanish",1,,This variable does not reflect a survey question. It provides the language utilized in survey adminsteration: English or Spanish.,,377,877,1040,822
0  Survey Year & Location,Remove,Keep,surveyorname,Survey Location,Researcher Name,,text,"Name, Initials, Name and Intial",0,,This variable provides the Location of Survey Administration.,,376,877,1040,822
0  Survey Year & Location,Keep,Keep,surveylocat,Survey Location,Survey conducted...,,dropdown,"in a public space, at home",0,,This variable provides the Location of Survey Administration.,,345,872,1018,808
0  Survey Year & Location,Keep,Keep,surveyneighborhood,Neighborhood,City/Neighborhood Location,Neighborhood,dropdown,"Brockton, Chelsea, Dorchester, Everett, Fall River, Lynn, Mattapan, Roxbury, and New Bedford",0,"This variable provides the number of surveys respondents in each neighborhood. The neighborhoods are: Brockton, Chelsea, Dorchester, Everett, Fall River, Lynn, Mattapan, New Bedford, and Roxbury. This variable does not correspond to a question on the survey.",This variable provides a respondent's neighborhood.,,377,877,1040,822
